id,main_speaker,main_speaker_description
245,Andrew Pontzen and Tom Whyntie,
246,Andrew Solomon,"Andrew Solomon (born October 30, 1963) is a writer on politics, culture and psychology, who lives in New York City and London."
247,Andrew Stanton,"Andrew Stanton is an American film director, screenwriter, producer and voice actor based at Pixar, which he joined in 1990."
248,Andrew Vanden Heuvel,"Kiff VandenHeuvel (born Christopher Jon VandenHeuvel; April 24, 1970) is an American actor, director and teacher of both improvisational comedy and voiceover.He is the host of the voiceover podcast, All Over Voiceover with Kiff VH. His film credits include Batman v Superman: Dawn of Justice, Nightcrawler, La La Land, and Behind the Candelabra as Wayne (the half-brother of Liberace (Michael Douglas))."
249,Andrew Winston,Andrew Spencer Winston (born 1946) is a psychologist and historian who is an emeritus professor at the University of Guelph in Canada.
250,Andrew Youn,One Acre Fund is a nonprofit organization that supplies smallholder farmers in East Africa with asset-based financing and agriculture training services to reduce hunger and poverty.
251,Andrew Zimmerman Jones,Cyan () is the color between green and blue on the scale of visible light.
252,Andrey Vyshedskiy,"Neanderthals (, also Neandertals, Homo neanderthalensis or Homo sapiens neanderthalensis) are an extinct species or subspecies of archaic humans who lived in Eurasia until about 40,000 years ago."
253,Andri Snær Magnason,Andri Snær Magnason (born 14 July 1973) is an Icelandic writer.
254,Andrés Ruzo,"Andrés Ruzo is a geoscientist, conservationist, author, science communicator and educator, who became the first scientist granted permission to study the Boiling River of the Amazon in 2011."
255,Andy Hobsbawm,"Andrew John Hobsbawm (born 12 June 1963) is an entrepreneur, writer and musician from London, England."
256,Andy Puddicombe,"Andy Puddicombe (born 23 September 1972) is a British author, public speaker and a teacher of meditation and mindfulness."
257,Andy Yen,"Donnie Yen Ji-dan (Chinese: 甄子丹; born 27 July 1963) is a Hong Kong Chinese actor, martial artist, film director, producer, action choreographer, stuntman, and multiple-time world wushu tournament champion.Yen is one of Hong Kong's top action stars."
258,Ane Brun,
259,Anees Bahji,"Cannabis use disorder (CUD), also known as cannabis addiction or marijuana addiction, is defined in the fifth revision of the Diagnostic and Statistical Manual of Mental Disorders (DSM-5) and ICD-10 as the continued use of cannabis despite clinically significant impairment."
260,Angel Chang,Angel Chang  is an American fashion designer and early pioneer in the cross-over between fashion and technology.
261,Angel Hsu,Angel Hsu (born 23 February 1983) is an American climate scientist.
262,Angela Belcher,"Angela M. Belcher is a materials scientist, biological engineer, and the James Mason Crafts Professor of Biological Engineering and Materials Science at the Massachusetts Institute of Technology (MIT) in Cambridge, Massachusetts, United States."
263,Angela Francis,Angela Dorothea Merkel (née Kasner; born 17 July 1954) is a German politician serving as the chancellor of Germany since 2005.
264,Angela Koine Flynn,
265,Angela Lee Duckworth,"Angela Lee Duckworth (born 1970) is an American academic, psychologist, and popular science author."
266,Angela Mahecha Adrar,
267,Angela Oguntala,
268,Angela Patton,"Angela Patton is a female activist and activator for ""at-risk"", or, as she prefers ""at-promise"", African-American girls."
269,Angela Wang,"Angela Wang (born July 30, 1996) is an American ladies' figure skater."
270,Angelica Dass,"Angélica Dass (born 1979) is a Brazilian photographer based in Madrid, Spain and is the creator of the project Humanæ."
271,Angelicque White,Angelicque E. White is an American oceanographer.
272,Angelo Vermeulen,"Angelo Vermeulen (born 1971, Sint Niklaas) is a Belgian space systems researcher, biologist and artist."
273,Angie Murimirwa,100 Women is a BBC multi-format series established in 2013.
274,Angélica Dass,"Angélica Dass (born 1979) is a Brazilian photographer based in Madrid, Spain and is the creator of the project Humanæ."
275,Angélique Parisot-Potter,"Ray ""Golden"" Apollon, born Cyril Joseph, (1924–1997) was a professional wrestler from the island of Trinidad.Apollon studied at St."
276,Ani Liu,Articulate is an American weekly public television documentary series on the creative arts hosted by Irish-American journalist Jim Cotter.
277,Anika Hazra,"This is the list of some Bangladeshi movies in the Bengali language, released in 2014 in Bangladesh or overseas."
278,Anika Paulson,"The Satellite Award for Best Supporting Actress in a Series, Miniseries, or Television Film is one of the annual Satellite Awards given by the International Press Academy."
279,Anil Ananthaswamy,"Anil Ananthaswamy is an Indian author, and science journalist, who is currently a Knight Science Journalism Research fellow at the Massachusetts Institute of Technology."
280,Anil Gupta,
281,Anil Raj,"Anil Raj  (April 1, 1984 – November 24, 2019) was an American human rights activist who served on the board of Amnesty International."
282,Anil Seth,Anil Kumar Seth (born 11 June 1972) is a British professor of Cognitive and Computational Neuroscience at the University of Sussex.
283,Anindya Kundu,"Chandrabindoo (often spelled Chandrabindu), based in Kolkata, is a Bengali band known for satirical, colloquial lyrics, with references to current affairs and cultural phenomena."
284,Anirudh Sharma,"MTV Roadies 9 : Everything or Nothing is the ninth season of MTV Roadies, a reality television show aired on MTV India."
285,Anita Collins,
286,Anja Blacha,Anja Karen Blacha (born 18 June 1990) is a German mountaineer.
287,Anjali Kumar,Anjali is a 1990 Indian Tamil-language drama film written and directed by Mani Ratnam.
288,Anjali Tripathi,Newton is a 2017 Indian Hindi-language black comedy drama film co-written and directed by Amit V. Masurkar.
289,Anjan Chatterjee,"Anjan Chatterjee (Bengali: অঞ্জন চট্টোপাধ্যায়) (born February 16, 1960) is an Indian hotelier and founder of Speciality Restaurants Limited."
290,Anjan Sundaram,Anjan Sundaram is an author and journalist.
291,Ann Cooper,
292,Ann Curry,"Ann Curry (born November 19, 1956) is an American journalist and photojournalist, who has been a reporter for more than 30 years, focused on human suffering in war zones and natural disasters."
293,Ann Morgan,"Ann Morgan Guilbert (October 16, 1928 – June 14, 2016), sometimes credited as Ann Guilbert, was an American television and film actress and comedian who portrayed a number of roles from the 1950s on, most notably as Millie Helper in 61 episodes of the early 1960s sitcom The Dick Van Dyke Show, and later Yetta Rosenberg, Fran Fine's doddering grandmother, in 56 episodes of the 1990s sitcom The Nanny."
294,AnnMarie Thomas,"AnnMarie Thomas is a mechanical engineer, author, blogger, and advocate for early engineering education."
295,Anna Babel,"Alejandro González Iñárritu (; American Spanish: [aleˈxandɾo ɣonˈsales iˈɲaritu]; born 15 August 1963) is a Mexican film director, producer, and screenwriter."
296,Anna Deavere Smith,"Anna Deavere Smith (born September 18, 1950) is an American actress, playwright, and professor."
297,Anna Heringer,Anna Heringer (born 13 October 1977 in Rosenheim) is a German architect.
298,Anna Mracek Dietrich,"Terrafugia () is a Chinese-owned corporation, based in Woburn, Massachusetts, United States that is developing a roadable aircraft called the Transition and a flying car called the TF-X. The Transition and TF-X are designed to be able to fold their wings, enabling the vehicles to also operate as street-legal road vehicles."
299,Anna Piperal,"Anna Maxwell Martin (born Anna Charlotte Martin; 27 May 1977), sometimes credited as Anna Maxwell-Martin, is an English actress."
300,Anna Post,"Anna Diop (born February 6, 1988) is a Senegalese-American actress and model."
301,Anna Rosling Rönnlund,"Anna Rosling Rönnlund (born April 4, 1975) is a Swedish designer who, with her husband Ola Rosling, developed Trendalyzer, interactive software for visualizing statistical  information."
302,Anna Rothschild,"Anna Rothschild is a science journalist who hosts Anna’s Science Magic Show Hooray, a video series from The Washington Post."
303,Anne Basting,"Anne Davis Basting, age 51, is an American gerontologist working as a professor of theater at the University of Wisconsin-Milwaukee's Peck School of the Arts."
304,Anne Curzan,"Anne Curzan is a professor at the University of Michigan, author of books on language, member of the American Heritage Dictionary Usage Panel, and co-host of That's What They Say on Michigan Radio."
305,Anne F. Broadbridge,"Zhenjin (Mongolian: Чингим ᠴᠢᠩᠭᠢᠮ, Chinese: 真金; pinyin: Zhēnjīn; 1243 – 1285 or January 5, 1286), also rendered as Jingim, Chinkim, or Chingkim (Mongolian: Чингим/Chingim), was the son of Kublai Khan and grandson of Tolui."
306,Anne Gaskett,"Jacqueline Rae Beggs, (born 1962) is a New Zealand entomologist and ecologist of Ngāti Awa descent, specialising in biodiversity and biosecurity."
307,Anne Lamott,
308,Anne Madden,"Anne Madden (born 1932) is an English-born painter, who is well known in both Ireland and France where she has divided her time for the past forty years."
309,Anne Marie Albano,"Anne Marie Albano is a clinical psychologist known for her clinical work and research on psychosocial treatments for anxiety and mood disorders, and the impact of these disorders on the developing youth."
310,Anne Milgram,"Anne Melissa Milgram (born December 1, 1970) is an American attorney, politician, and academic."
311,Anne Pasternak,
312,Anne-Marie Slaughter,"Anne-Marie Slaughter (born September 27, 1958) is an American international lawyer, foreign policy analyst, political scientist and public commentator."
313,Annette Heuser,"The Bertelsmann Foundation North America is an independent, non-partisan and non-profit think tank headquartered in Washington, D.C. It is the U.S. arm of the Germany-based Bertelsmann Stiftung."
314,Annie Bosler and Don Greene,
315,Annie Lennox,"Ann Lennox  (born 25 December 1954) is a Scottish singer-songwriter, political activist and philanthropist."
316,Annie Murphy Paul,"Anne Frances Murphy (born December 19, 1986) is a Canadian actress and comedian."
317,Anote Tong,"Anote Tong (simplified Chinese: 汤安诺; traditional Chinese: 湯安諾; pinyin: Tāng Ānnuò; born 11 June 1952 in Tabuaeran, Line Islands) is an I-Kiribati politician for the Pillars of Truth party with half Chinese heritage, who served as President of Kiribati, from 2003 to 2016."
